,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Rikitea,PF,79.54,-23.1203,-134.9692,Chez Bianca & Benoit
6,Bowen,AU,82.09,-20.0167,148.2333,Whitsunday Sands Resort
7,East London,ZA,75.87,-33.0153,27.9116,Garden Court
8,Port Alfred,ZA,71.19,-33.5906,26.891,Royal St.Andrews
11,Kailua,US,80.58,21.4022,-157.7394,Royal St.Andrews
13,Mataura,NZ,74.75,-46.1927,168.8643,Royal St.Andrews
14,Codrington,AU,83.79,-38.2667,141.9667,Royal St.Andrews
15,Chuy,UY,72.14,-33.6971,-53.4616,Bertelli Chuí Hotel
25,Saint-Pierre,RE,76.68,-21.3393,55.4781,Le Victoria
27,Port Elizabeth,ZA,71.89,-33.918,25.5701,Newtondale
28,Veraval,IN,71.62,20.9,70.3667,Hotel Avadh
29,Atuona,PF,79.54,-9.8,-139.0333,Pearl Resort
33,Butaritari,KI,81.23,3.0707,172.7902,Pearl Resort
34,Georgetown,MY,80.53,5.4112,100.3354,Cititel Express
37,Katherine,AU,89.92,-14.4667,132.2667,Ibis Styles Katherine
40,Bengkulu,ID,77.94,-3.8004,102.2655,Wedika Hotel
41,Basoko,CD,72.34,1.2391,23.616,RP405
44,Arraial Do Cabo,BR,75.16,-22.9661,-42.0278,Pousada Vida Boa Praia
47,Aitape,PG,84.51,-3.1374,142.3475,Pousada Vida Boa Praia
48,Souillac,MU,77.38,-20.5167,57.5167,Hotel Shanti Maurice
51,Hilo,US,78.28,19.7297,-155.09,SCP Hotel
54,Launceston,AU,75.61,-41.45,147.1667,Peppers Silo Hotel
59,Te Anau,NZ,72.9,-45.4167,167.7167,Shakespeare House B&B
61,Lorengau,PG,78.28,-2.0226,147.2712,Seeadler Bay Hotel
65,Lahat,ID,79.83,-3.8,103.5333,Seeadler Bay Hotel
67,Luba,GQ,78.69,3.4568,8.5547,Residencia Don Louis
70,Atar,MR,75.87,20.5169,-13.0499,فندق شنقيط قصر نواكشوط ٠٤٠٣١٧
72,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le Baril
73,Isangel,VU,84.31,-19.55,169.2667,White Beach Bungalows
74,Guanica,PR,76.98,17.9716,-66.908,Copamarina Beach Resort
76,Avarua,CK,84.25,-21.2078,-159.775,Natura Nikao Beach Bungalow
78,Kiunga,PG,88.34,-6.1219,141.2906,Natura Nikao Beach Bungalow
79,Cairns,AU,82.35,-16.9167,145.7667,Pacific International
83,Ahuimanu,US,80.31,21.4447,-157.8378,Pacific International
85,Porto Novo,BJ,82.22,6.4965,2.6036,HIB
89,Puerto Ayora,EC,76.55,-0.7393,-90.3518,Hotel Castro
91,Kahului,US,78.82,20.8947,-156.47,Courtyard Maui Kahului Airport
92,Alofi,NU,80.49,-19.0595,-169.9187,Courtyard Maui Kahului Airport
93,Mahebourg,MU,77.29,-20.4081,57.7,Secret Escape
95,Nelson Bay,AU,78.85,-32.7167,152.15,Pacific Blue
96,Dingle,PH,80.06,10.9995,122.6711,Pacific Blue
99,Hobart,AU,78.06,-42.8794,147.3294,Salamanca Inn
100,Salinopolis,BR,77.81,-0.6136,-47.3561,Hotel Salinópolis
102,Kavieng,PG,84.99,-2.5744,150.7967,Kavieng Niu Lodge
105,Kapaa,US,75.47,22.0752,-159.319,Kaha Lani Resort
107,Bathsheba,BB,77.61,13.2167,-59.5167,Clifton Hall Great House
110,Touros,BR,79.2,-5.1989,-35.4608,Pousada Atlântico
113,Sinnamary,GF,76.62,5.3833,-52.95,L'Oiseau de Paradis - Hôtel Eco-Lodge
114,Weligama,LK,72.95,5.9667,80.4167,Sandaru guest house & Restaurant
115,Vaini,TO,82.56,-21.2,-175.2,Keleti International Resort
117,New Norfolk,AU,77.72,-42.7826,147.0587,Tynwald Road
120,Homagama,LK,73.15,6.844,80.0024,Star Palace
127,Merauke,ID,85.8,-8.4667,140.3333,Star Palace
128,Poum,NC,79.5,-20.2333,164.0167,Star Palace
134,Rio Grande,BR,73.78,-32.035,-52.0986,Arpini Hotel
135,Moron,AR,78.49,-34.6534,-58.6198,Hotel Maitén
137,Acapulco,MX,80.42,16.8634,-99.8901,Porto mare acapulco
139,Cruzeiro,BR,71.1,-22.5761,-44.9628,Porto mare acapulco
145,Iracemapolis,BR,70.38,-22.5806,-47.5186,Porto mare acapulco
147,Matara,LK,72.9,5.9485,80.5353,Casa Colombo Collection Mirissa
148,Port Lincoln,AU,83.26,-34.7333,135.8667,Grand Tasman
149,Sola,VU,81.97,-13.8833,167.55,Grand Tasman
155,Belmonte,BR,77.2,-15.8631,-38.8828,Grand Tasman
157,Mount Gambier,AU,85.46,-37.8333,140.7667,Jubilee Motor Inn
162,Parrita,CR,77.43,9.5201,-84.3225,Cocomar Beachfront Hotel
163,Cidreira,BR,70.83,-30.1811,-50.2056,Hotel Castelo
164,Voh,NC,78.17,-20.9667,164.7,Single Room units
166,Paita,PE,76.87,-5.0892,-81.1144,Marina del Bay Hotel
167,Banda Aceh,ID,80.56,5.5577,95.3222,Hotel Grand Permata Hati
171,Kinarut,MY,84.22,5.8231,116.0466,Langkah Syabas Resort
173,Linhares,BR,73.83,-19.3911,-40.0722,Hotel BHS
174,Gambela,ET,79.32,8.25,34.5833,Hotel Ethiopia
177,Farim,GW,77.83,12.4839,-15.2217,Hotel Ethiopia
179,Eravur,LK,74.28,7.7733,81.6095,Moorthi Hotel
182,Sharjah,AE,71.58,25.3573,55.4033,Miami Hotel Apartment
186,Tabuk,PH,75.79,17.4189,121.4443,M
194,Antofagasta,CL,70.88,-23.65,-70.4,Hotel Parque Brasil Boutique
195,Antalaha,MG,72.27,-14.9003,50.2788,Belle Rose Beach
196,Hithadhoo,MV,81.0,-0.6,73.0833,Pebbles Inn
200,Concordia,AR,75.49,-31.393,-58.0209,Hostal del Jardin
201,Champerico,GT,78.06,14.3,-91.9167,Posada Del Mar
206,Miri,MY,82.54,4.4148,114.0089,Nur Hotel
207,Maungatapere,NZ,73.51,-35.75,174.2,Nur Hotel
212,Carnarvon,AU,77.76,-24.8667,113.6333,Nur Hotel
215,Kudahuvadhoo,MV,80.56,2.6708,72.8944,Nur Hotel
216,Soyo,AO,78.76,-6.1349,12.3689,Kwanda Hotel
219,Camana,PE,75.4,-16.6228,-72.7111,Punta Arena
221,Colan,PA,72.01,7.5873,-80.2296,Punta Arena
225,Katobu,ID,81.25,-4.9408,122.5276,Punta Arena
227,Sao Joao Da Barra,BR,75.7,-21.6403,-41.0511,Rua Felicíssimo Alves
228,Tiarei,PF,86.02,-17.5333,-149.3333,Rua Felicíssimo Alves
229,Inirida,CO,75.22,3.8653,-67.9239,Residencias El Turista del Guainia
231,Kokopo,PG,84.69,-4.352,152.2633,Gazelle Peninsula Lodge
237,San Juan Bautista,PE,75.81,-14.0108,-75.7358,Hospedaja La Angostura
238,Camopi,GF,71.69,3.1655,-52.3158,Chez Lucia
242,Swan Hill,AU,89.91,-35.3378,143.5544,Chez Lucia
243,Cockburn Town,TC,75.97,21.4612,-71.1419,Grand Turk Inn
244,Bambous Virieux,MU,77.25,-20.3428,57.7575,Grand Turk Inn
245,Puerto Quijarro,BO,75.04,-17.7833,-57.7667,Grand Turk Inn
248,Mlonggo,ID,80.8,-6.5333,110.7,Grand Turk Inn
251,Ouesso,CG,72.03,1.6136,16.0517,Auberge Djombo le soir
252,Hervey Bay,AU,79.68,-25.2986,152.8535,Allegea
253,Jerantut,MY,74.14,3.936,102.3626,Jalan Maran - Jerantut - Benta
255,Hobyo,SO,76.87,5.3505,48.5268,Jalan Maran - Jerantut - Benta
