,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Akyab,MM,20.15,92.9,65.57,36,0,6.06,clear sky
1,Busselton,AU,-33.65,115.3333,66.16,58,100,3.58,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,79.54,65,100,3.8,overcast clouds
3,Taoudenni,ML,22.6783,-3.9836,67.41,24,99,14.36,overcast clouds
4,Broome,US,42.2506,-75.833,42.48,55,0,7.0,clear sky
5,Provideniya,RU,64.3833,-173.3,-7.49,59,20,8.95,few clouds
6,Bowen,AU,-20.0167,148.2333,82.09,70,100,8.93,light rain
7,East London,ZA,-33.0153,27.9116,75.87,92,69,5.84,light rain
8,Port Alfred,ZA,-33.5906,26.891,71.19,97,100,3.0,light rain
9,Sitka,US,57.0531,-135.33,37.29,65,100,12.66,light rain
10,Olafsvik,IS,64.8945,-23.7142,35.78,62,100,17.11,overcast clouds
11,Kailua,US,21.4022,-157.7394,80.58,73,20,20.71,light rain
12,Vila Franca Do Campo,PT,37.7167,-25.4333,48.61,70,79,0.76,broken clouds
13,Mataura,NZ,-46.1927,168.8643,74.75,37,100,4.85,overcast clouds
14,Codrington,AU,-38.2667,141.9667,83.79,23,100,7.11,overcast clouds
15,Chuy,UY,-33.6971,-53.4616,72.14,86,100,7.61,overcast clouds
16,Seydi,TM,39.4816,62.9137,36.1,62,100,12.95,overcast clouds
17,Guerrero Negro,MX,27.9769,-114.0611,61.05,57,99,12.37,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,-17.88,76,0,6.91,clear sky
19,Ushuaia,AR,-54.8,-68.3,37.06,87,100,31.07,light rain
20,Abay,KZ,49.6311,72.8539,8.98,88,100,4.65,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,-21.78,90,100,5.82,overcast clouds
22,Moses Lake,US,47.1301,-119.2781,38.88,60,0,9.22,clear sky
23,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,18.41,broken clouds
24,Bluff,NZ,-46.6,168.3333,62.31,73,0,18.77,clear sky
25,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,0,13.8,clear sky
26,Ponta Do Sol,PT,32.6667,-17.1,57.83,72,26,12.3,scattered clouds
27,Port Elizabeth,ZA,-33.918,25.5701,71.89,88,20,6.91,few clouds
28,Veraval,IN,20.9,70.3667,71.62,30,2,10.74,clear sky
29,Atuona,PF,-9.8,-139.0333,79.54,73,0,16.11,clear sky
30,Batagay,RU,67.6333,134.6333,-42.75,96,51,0.83,broken clouds
31,Aklavik,CA,68.2191,-135.0107,-28.19,99,9,4.5,clear sky
32,Iisalmi,FI,63.5592,27.1907,29.01,99,100,1.77,overcast clouds
33,Butaritari,KI,3.0707,172.7902,81.23,69,100,11.77,overcast clouds
34,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
35,Skalat,UA,49.4273,25.9787,28.62,90,13,9.13,few clouds
36,Sioux Lookout,CA,50.1001,-91.917,33.87,80,75,10.36,broken clouds
37,Katherine,AU,-14.4667,132.2667,89.92,58,63,6.91,broken clouds
38,Fairmont,US,39.4851,-80.1426,58.37,54,100,4.25,overcast clouds
39,Greenville,US,35.6127,-77.3663,51.96,52,0,5.75,clear sky
40,Bengkulu,ID,-3.8004,102.2655,77.94,80,100,3.02,overcast clouds
